"series","status","SC.taxcl","OSD.taxcl","flag"
"PACKSADDLE","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, THERMIC TYPIC ARGIUSTOLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, THERMIC TYPIC ARGIUSTOLLSA--0 TO 6 INCHES; VERY DARK GRAY (10YR 3/1) CHANNERY LOAM, BLACK (10YR 2/1) MOIST; MODERATE FINE SUBANGULAR BLOCKY STRUCTURE; SLIGHTLY HARD, FRIABLE; FEW MEDIUM AND COMMON FINE AND VERY FINE ROOTS; ABOUT 30 PERCENT GRAPHITIC SCHIST CHANNERS MAINLY LESS THAN 3 INCHES LONG; NEUTRAL; GRADUAL SMOOTH BOUNDARY. (4 TO 8 INCHES THICK)BT--6 TO 13 INCHES; VERY DARK GRAY (10YR 3/1) VERY CHANNERY CLAY LOAM, BLACK (10YR 2/1) MOIST; MODERATE MEDIUM SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM; FEW MEDIUM AND COMMON FINE ROOTS; ABOUT 40 PERCENT GRAPHITIC SCHIST FRAGMENTS MAINLY LESS THAN 3 INCHES LONG: NEUTRAL; GRADUAL SMOOTH BOUNDARY. (5 TO 12 INCHES THICK)BCT--13 TO 28 INCHES; VERY DARK GRAY (5Y 3/1) VERY CHANNERY CLAY LOAM, BLACK (5Y 2.5/1) MOIST; WEAK FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM; FEW FINE AND VERY FINE ROOTS; FEW PATCHY CLAY FILMS; ABOUT 50 PERCENT WEATHERED GRAPHITIC SCHIST BEDROCK TILTED 20 TO 30 DEGREES FROM HORIZONTAL IN BEDDING PLANES EASILY PARTING TO CHANNERS MAINLY LESS THAN 3 INCHES LONG; MOST OF THE CHANNERS CAN BE BROKEN AND SOME CAN BE CRUSHED BY HAND; VOLUME AND HARDNESS OF CHANNERS INCREASE WITH DEPTH; NEUTRAL; GRADUAL IRREGULAR BOUNDARY. (8 TO 18 INCHES THICK)CR--28 TO 36 INCHES; BLACK TILTED GRAPHITIC SCHIST BEDROCK.",TRUE
"PAJUELA","established","SANDY-SKELETAL, MIXED, THERMIC XERIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, THERMIC XERICTORRIORTHENTS",TRUE
"PELELIU","established","CLAYEY-SKELETAL, CARBONATIC, ISOHYPERTHERMIC LITHIC HAPRENDOLLS","CLAYEY-SKELETAL, PARASESQUIC, ISOHYPERTHERMIC LITHIC EUTRUDEPTS",TRUE
"PINICON","established","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC AERIC ENDOAQUALFS","FINE-LOAMY, MIXED, SUPERACTIVE, MESIC AERIC ENDOAQUALFSA--0 TO 3 INCHES; VERY DARK GRAY (10YR 3/1) SILT LOAM (20 PERCENT CLAY), GRAY (10YR 6/1) DRY; MODERATE FINE AND VERY FINE GRANULAR STRUCTURE; FRIABLE; MEDIUM ACID; CLEAR SMOOTH BOUNDARY.  (2 TO 5 INCHES THICK)E1--3 TO 7 INCHES; GRAYISH BROWN (10YR 5/2) SILT LOAM (18 PERCENT CLAY), LIGHT GRAY (10YR 7/2) DRY; COMMON FINE FAINT DARK YELLOWISH BROWN (10YR 4/4) MOTTLES; MODERATE FINE PLATY STRUCTURE; FRIABLE; MANY LIGHT GRAY (10YR 7/1) DRY SILT COATINGS ON FACES OF PEDS; MANY FINE PORES; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.E2--7 TO 11 INCHES; BROWN (10YR 5/3) SILT LOAM (19 PERCENT CLAY); FACES OF PEDS GRAYISH BROWN (10YR 5/2); COMMON FINE FAINT BROWN (10YR 4/3) MOTTLES; MODERATE THIN PLATY STRUCTURE; FRIABLE; LIGHT GRAY (10YR 7/1) DRY SILT COATINGS ON PEDS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (COMBINED THICKNESS OF THE E HORIZONS IS 4 TO 11 INCHES.)BE--11 TO 17 INCHES; MOTTLED YELLOWISH BROWN (10YR 5/6) AND GRAYISH BROWN (10YR 5/2) SILT LOAM (22 PERCENT CLAY); FACES OF PEDS DARK GRAYISH BROWN (10YR 4/2); WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE PARTING TO MODERATE VERY FINE SUBANGULAR BLOCKY; FRIABLE; NEARLY CONTINUOUS LIGHT GRAY (10YR 7/1) DRY SILT COATINGS ON FACES OF PEDS; FEW FINE YELLOWISH RED (5YR 5/8) OXIDES; VERY STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (0 TO 8 INCHES THICK)2BT1--17 TO 25 INCHES; MOTTLED GRAYISH BROWN (2.5Y 5/2) AND STRONG BROWN (7.5YR 5/8) LOAM (26 PERCENT CLAY); FACES OF PEDS GRAYISH BROWN (2.5Y 5/2) AND LIGHT BROWNISH GRAY (2.5Y 6/2); WEAK COARSE PRISMATIC STRUCTURE PARTING TO WEAK MEDIUM SUBANGULAR BLOCKY; FIRM; LIGHT GRAY (10YR 7/2) DRY SILT COATINGS ON FACES OF PRISMS AND PEDS; FEW FAINT DARK GRAYISH BROWN (2.5Y 4/2) CLAY FILMS ON FACES OF PRISMS AND IN A FEW ROOT CHANNELS AND PORES; FEW FINE YELLOWISH RED (5YR 5/8) OXIDES; PEBBLE BAND AT 17 INCHES; VERY STRONGLY ACID; GRADUAL SMOOTH BOUNDARY.2BT2--25 TO 35 INCHES; STRONG BROWN (7.5YR 5/6) CLAY LOAM (28PERCENT CLAY); FACES OF PEDS LIGHT BROWNISH GRAY (2.5Y 6/2); COMMON FINE DISTINCT GRAYISH BROWN (2.5Y 5/2) MOTTLES; MODERATE COARSE PRISMATIC STRUCTURE PARTING TO WEAK MEDIUM SUBANGULAR BLOCKY; FIRM; NEARLY CONTINUOUS LIGHT GRAY (10YR 7/2) DRY SILT COATINGS ON FACES OF PEDS; FEW FAINT DARK GRAYISH BROWN (10YR 4/2) CLAY FILMS ON FACES OF PRISMS AND PEDS AND FEW DISTINCT DARK GRAY (10YR 4/1) CLAY FILMS IN ROOT CHANNELS; FEW FINE DARK RED (2.5YR 3/6) AND DARK REDDISH BROWN (5YR 2/2) OXIDES AND FEW DARK REDDISH BROWN (5YR 2/2) STAINS ON FACES OF PEDS; FEW PEBBLES; VERY STRONGLY ACID; GRADUAL SMOOTH BOUNDARY.2BT3--35 TO 44 INCHES; STRONG BROWN (7.5YR 5/8) LOAM (26 PERCENT CLAY); FACES OF PEDS GRAYISH BROWN (2.5Y 5/2); COMMON FINE PROMINENT GRAY (5Y 5/1) MOTTLES; WEAK COARSE PRISMATIC STRUCTURE PARTING TO WEAK MEDIUM SUBANGULAR BLOCKY; FIRM; COMMON DISTINCT DARK GRAY (10YR 4/1) CLAY ACCUMULATIONS IN ROOT CHANNELS AND PORES; FEW DARK REDDISH BROWN (5YR 2/2) AND YELLOWISH RED (5YR 4/8) OXIDES; FEW PEBBLES; MEDIUM ACID; GRADUAL SMOOTH BOUNDARY.2BT4--44 TO 49 INCHES; MOTTLED STRONG BROWN (7.5YR 5/6) AND GRAY (10YR 5/1) LOAM (24 PERCENT CLAY); WEAK COARSE PRISMATIC STRUCTURE PARTING TO VERY WEAK COARSE SUBANGULAR BLOCKY; FIRM; FEW VERY DARK GRAY (10YR 3/1) AND DARK GRAY (10YR 4/1) CLAY ACCUMULATIONS IN ROOT CHANNELS AND PORES; FEW DARK REDDISH BROWN (5YR 2/2) OXIDES AND PED STAINS; FEW PEBBLES; SLIGHTLY ACID; GRADUAL SMOOTH BOUNDARY.  (COMBINED THICKNESS OF THE BT HORIZONS IS 26 TO 44 INCHES.)2BC--49 TO 57 INCHES; MOTTLED YELLOWISH BROWN (10YR 5/6) AND GRAY(5Y 5/1) LOAM (23 PERCENT CLAY); VERY WEAK COARSE PRISMATIC STRUCTURE; FIRM; FEW DARK REDDISH BROWN (5YR 2/2) OXIDES AND STAINS; FEW PEBBLES; NEUTRAL; CLEAR WAVY BOUNDARY.  (0 TO 10 INCHES THICK)2C--57 TO 60 INCHES; MOTTLED YELLOWISH BROWN (10YR 5/6) AND GRAY (5Y 5/1) LOAM (23 PERCENT CLAY); MASSIVE; FIRM; FEW PEBBLES; FEW WHITE (10YR 8/1) MYCELIA LIME ACCUMULATIONS; STRONG EFFERVESCENCE; MILDLY ALKALINE.",TRUE
"POCONO","established","LOAMY-SKELETAL, SILICEOUS, MESIC TYPIC HAPLUDULTS","LOAMY-SKELETAL, SILICEOUS, MESIC TYPICHAPLUDULTS",TRUE
"PRESNAL","inactive","COARSE-LOAMY, MIXED, FRIGID VITRANDIC EUTROCHREPTS","COARSE-LOAMY, MIXED, FRIGID VITRANDICEUTROCHREPTS",TRUE
"PUNTA","established","SANDY, SILICEOUS, HYPERTHERMIC GROSSARENIC ALAQUODS","SANDY, SILICEOUS, HYPERTHERMIC GROSSARENICALAQUODS",TRUE
"QUEPONCO","tentative","FINE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTS","FINE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): WELL DRAINEDINTERNAL FREE WATER OCCURRENCE: DEEP (40 TO 72 INCHES)AND COMMON (3 TO 6 MONTHS)PERMEABILITY: MODERATEINDEX SURFACE RUNOFF: LOWLANDSCAPE: PENINSULALANDFORM: INTERFLUVES AND BROAD INTERSTREAM DIVIDESHILLSLOPE PROFILE POSITION: SUMMITS, SHOULDERS, AND BACKSLOPEGEOMORPHIC COMPONENT: RISE AND TALFSPARENT MATERIAL: LOAMY FLUVIAL AND EOLIAN DEPOSITS UNDERLAIN BY SANDY AND LOAMY FLUVIAL AND MARINE (FLUVIOMARINE) DEPOSITSSLOPE: 0 TO 5 PERCENTELEVATION (TYPE LOCATION): 5 FEETMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION NEAR PRINCESS ANNE, MD): 57 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION NEAR PRINCESS ANNE, MD): 46 INCHESTAXONOMIC CLASS: FINE-LOAMY, MIXED, SEMIACTIVE, MESIC TYPIC HAPLUDULTS",TRUE
"QUINDOCQUA","tentative","FINE-LOAMY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTS","FINE-LOAMY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): POORLY DRAINEDINTERNAL FREE WATER OCCURRENCE: VERY SHALLOW (0 TO 10 INCHES) AND COMMON (3 TO 6 MONTHS)INDEX SURFACE RUNOFF: NEGLIGIBLE WHERE CONCAVE (DEPRESSIONAL), TO LOW WHERE NEARLY LEVEL.SATURATED HYDRAULIC CONDUCTIVITY: MODERATELY HIGH IN THE SUBSOIL, HIGH AND VERY HIGH IN THE SUBSTRATUMPERMEABILITY(OBSOLETE): MODERATE IN THE SOLUM AND RAPID IN THE UNDERLYING MATERIALPHYSIOGRAPHIC REGION: COASTAL PLAINLANDSCAPE: LOWLANDSLANDFORM: INTERFLUVES, BROAD INTERSTREAM DIVIDES, AND FLATS, SWALES, DRAINAGEWAYSELEVATION: 5 TO 40 FEET (6 FEET AT TYPE LOCATION)PARENT MATERIAL: LOAMY FLUVIAL AND EOLIAN DEPOSITS UNDERLAIN BY SANDY FLUVIOMARINE SEDIMENTSSLOPE: 0 TO 2 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION NEAR PRINCESS ANNE, MD): 57 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION NEAR PRINCESS ANNE, MD): 46 INCHESTAXONOMIC CLASS: FINE-LOAMY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTS",TRUE
"REXMONT","established","LOAMY-SKELETAL, MIXED, SUPERACTIVE, FRIGID LITHIC HAPLOXEROLLS","LOAMY-SKELETAL, MIXED, FRIGID LITHICHAPLOXEROLLS",TRUE
"RICHMOND","established","LOAMY-SKELETAL, CARBONATIC, MESIC LITHIC XERORTHENTS","LOAMY-SKELETAL, CARBONATIC, MESIC LITHICXERORTHENTS",TRUE
"ROMIA","established","FINE-LOAMY, SILICEOUS, ACTIVE, THERMIC ULTIC HAPLUDALFS","FINE-LOAMY, SILICEOUS, ACTIVE, THERMIC ULTIC HAPLUDALFSSTATED.)A1--0 TO 6 INCHES; DARK BROWN (7.5YR 3/2) COBBLY LOAMY FINE SAND, BROWN (7.5YR 5/2) DRY; WEAK VERY FINE GRANULAR STRUCTURE;SOFT, VERY FRIABLE; 20 PERCENT COBBLESTONES BY VOLUME; MEDIUMACID; CLEAR SMOOTH BOUNDARY.  (3 TO 8 INCHES THICK)A2--6 TO 18 INCHES; REDDISH BROWN (5YR 5/4) GRAVELLY FINESAND, LIGHT REDDISH BROWN (5YR 6/4) DRY; SINGLE GRAINED; LOOSE DRYOR MOIST; 20 PERCENT COBBLESTONES AND 30 PERCENT PEBBLES; STRONGLY ACID; CLEAR WAVY BOUNDARY.  (6 TO 17 INCHES THICK)B21T--18 TO 34 INCHES; YELLOWISH RED (5YR 5/6) SANDY CLAYLOAM, LIGHT REDDISH BROWN (5YR 6/4) DRY; WEAK COARSE PRISMATIC STRUCTURE PARTING TO MODERATE MEDIUM SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM; FEW CLEAN SAND GRAINS; CLAY FILMS BRIDGING SANDGRAINS; VERY STRONGLY ACID; GRADUAL SMOOTH BOUNDARY.  (12 TO 24 INCHES THICK)B22T--34 TO 47 INCHES; RED (2.5YR 4/8) SANDY CLAY LOAM, RED (2.5YR 5/8) DRY; CONTAINING COMMON MEDIUM PROMINENT REDDISH YELLOW (7.5YR 6/8) MOTTLES; WEAK COARSE PRISMATIC STRUCTURE PARTING TO MODERATE MEDIUM SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM; CLAYFILMS ON FACES OF PEDS; VERY STRONGLY ACID.  (10 TO 24 INCHESTHICK)CR--47 TO 56 INCHES; SOFT SANDSTONE.",TRUE
"RUMLEY","established","FINE-LOAMY, CARBONATIC, THERMIC UDIC CALCIUSTOLLS","FINE-LOAMY, CARBONATIC, THERMIC UDICCALCIUSTOLLS",TRUE
"SABANA","established","CLAYEY, MIXED, ACTIVE, ISOHYPERTHERMIC LITHIC DYSTRUDEPTS","CLAYEY, MIXED, ACTIVE, ISOHYPERTHERMIC LITHIC DYSTRUDEPTSAP--0 TO 4 INCHES; VERY DARK GRAY (10YR 3/1) SILTY CLAY LOAM; MODERATE MEDIUM GRANULAR STRUCTURE; FIRM, SLIGHTLY STICKY, SLIGHTLY PLASTIC; COMMON FINE ROOTS; COMMON FINE VOLCANIC FRAGMENTS; STRONGLY ACID; CLEAR WAVY BOUNDARY.  (2 TO 6 INCHES THICK)B1--4 TO 12 INCHES; DARK GRAYISH BROWN (10YR 4/2) SILTY CLAY; COMMON MEDIUM DISTINCT STRONG BROWN (7.5YR 5/6) MOTTLES; WEAK FINE SUBANGULAR BLOCKY STRUCTURE; FIRM, SLIGHTLY STICKY, SLIGHTLY PLASTIC; FEW FINE ROOTS; FEW FINE PORES; FEW THIN CLAY FILMS; FEW FINE VOLCANIC ROCK FRAGMENTS; STRONGLY ACID; CLEAR SMOOTH BOUNDARY.  (4 TO 8 INCHES THICK)B2--12 TO 18 INCHES; YELLOWISH RED (5YR 5/6) CLAY; MANY COARSE DISTINCT BROWN (7.5YR 4/4) MOTTLES; WEAK MEDIUM SUBANGULAR BLOCKY STRUCTURE; FIRM, SLIGHTLY STICKY, SLIGHTLY PLASTIC; FEW FINE ROOTS; FEW FINE PORES; FEW THIN PATCHY CLAY FILMS; COMMON FINE VOLCANIC ROCK FRAGMENTS; STRONGLY ACID; ABRUPT SMOOTH BOUNDARY.  (4 TO 8 INCHES THICK)R--18 TO 21 INCHES PLUS; CONSOLIDATED VOLCANIC ROCK.",TRUE
"SAGUACHE","established","SANDY-SKELETAL, MIXED, FRIGID TYPIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID TYPICTORRIORTHENTS",TRUE
"SCAPO","established","FINE, KAOLINITIC, ACID, THERMIC CUMULIC HUMAQUEPTS","FINE, KAOLINITIC, ACID, THERMIC CUMULIC HUMAQUEPTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): VERY POORLY DRAINEDINTERNAL FREE WATER OCCURRENCE: VERY SHALLOW, PERSISTENTFLOODING FREQUENCY AND DURATION: FREQUENTPONDING FREQUENCY AND DURATION: NONESLOWEST SATURATED HYDRAULIC CONDUCTIVITY: MODERATELY LOWLANDSCAPE: LOWER TO UPPER COASTAL PLAINLANDFORM: FLOOD PLAINGEOMORPHIC COMPONENT: SWAMPPARENT MATERIAL: ALLUVIUMSLOPE: 0 TO 2 PERCENTELEVATION (TYPE LOCATION): 98 FEET (30 M)MEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 63 DEGREES F  (17.1 C)MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 46 INCHES (1220 MM) & TAXONOMIC CLASS: FINE, KAOLINITIC, ACID, THERMIC CUMULIC HUMAQUEPTS",TRUE
"SEDWELL","established","FINE-LOAMY, CARBONATIC, FRIGID PACHIC CALCIXEROLLS","FINE-LOAMY, CARBONATIC, FRIGID PACHICCALCIXEROLLS",TRUE
"SEQUITE","inactive","LOAMY-SKELETAL, CARBONATIC, THERMIC, SHALLOW CALCIC PETROCALCIDS","LOAMY-SKELETAL, CARBONATIC, THERMIC, SHALLOWCALCIC PETROCALCIDS",TRUE
"SERRANO","established","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, NONACID, ISOHYPERTHERMIC TYPIC ENDOAQUEPTS","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, NONACID, ISOHYPERTHERMIC SULFIC ENDOAQUEPTS",TRUE
"SHASTINA","established","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED, MESIC HUMIC HAPLOXERANDS","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED,MESIC HUMIC HAPLOXERANDS",TRUE
"SHOULDERBONE","established","FINE, KAOLINITIC, THERMIC AQUIC KANHAPLUDULTS","FINE, KAOLINITIC, THERMIC AQUIC KANHAPLUDULTSMLRA OFFICE RESPONSIBLE: RALEIGH, NORTH CAROLINADEPTH CLASS: MODERATELY DEEPDRAINAGE CLASS (AGRICULTURAL): MODERATELY WELL DRAINEDINTERNAL FREE WATER OCCURRENCE: MODERATELY DEEPFLOODING FREQUENCY AND DURATION:  NONEPONDING FREQUENCY AND DURATION:  NONEINDEX SURFACE RUNOFF: MEDIUM TO VERY HIGHPERMEABILITY: SLOWSHRINK-SWELL POTENTIAL:  LOWLANDSCAPE: PIEDMONTLANDFORM: HILLGEOMORPHIC COMPONENT: SIDESLOPES, INTERFLUVES AND HEADSLOPESHILLSLOPE - PROFILE POSITION: SUMMITS, BACKSLOPES AND FOOTSLOPESPARENT MATERIAL: RESIDUUM FROM GRANITE GNEISS AND OTHER INTERMEDIATE IGNEOUS AND METAMORPHIC MATERIALSSLOPE:  2 TO 35 PERCENTELEVATION (TYPE LOCATION): 440 FEETMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 62 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 51 INCHES",TRUE
"SIELO","established","FINE, KAOLINITIC, FRIGID TYPIC PALEUSTALFS","FINE, KAOLINITIC, FRIGID TYPIC PALEUSTALFS01&02--2 INCHES TO 0; PARTIALLY TO WELL DECOMPOSED LITTER (1/2 TO 3 INCHES THICK)E--0 TO 5 INCHES; VERY PALE BROWN (10YR 7/3) VERY FINE SANDY LOAM, BROWN (7.5YR 5/4) MOIST; WEAK MEDIUM PLATY STRUCTURE THAT PARTS TO WEAK FINE GRANULAR; SLIGHTLY HARD, FIRM, NONSTICKY AND PLASTIC; COMMON FINE AND MEDIUM ROOTS; COMMON FINE INTERSTITIAL AND VESICULAR PORES; MEDIUM ACID (PH 6.0); CLEAR WAVY BOUNDARY.  (2 TO 6 INCHES THICK)E/B--5 TO 10 INCHES; MIXED E AND B HORIZONS WITH ABOUT 80 PERCENT E AND 20 PERCENT B; THE E PORTION IS VERY PALE BROWN (10YR 7/3) VERY FINE SANDY LOAM, BROWN (7.5YR 4/4) MOIST; WEAK MEDIUM PLATY STRUCTURE THAT PARTS TO WEAK FINE GRANULAR; SLIGHTLY HARD, FRIABLE, NONSTICKY AND NONPLASTIC; COMMON FINE AND MEDIUM ROOTS; COMMON FINE INTERSTITIAL AND VESICULAR PORES; MEDIUM ACID (PH 6.0); THE B PORTION IS AS DESCRIBED BELOW IN THE BT1 HORIZON; ABRUPT IRREGULAR BOUNDARY.  (2 TO 6 INCHES THICK)BT1--9 TO 18 INCHES; RED (2.5YR 5/6) CLAY, RED (2.5YR 4/6) MOIST; STRONG MEDIUM PRISMATIC STRUCTURE THAT PARTS TO STRONG MEDIUM ANGULAR BLOCKY; VERY HARD, FIRM, STICKY AND PLASTIC; FEW FINE AND COARSE ROOTS; FEW FINE INTERSTITIAL AND TUBULAR PORES; CONTINUOUS MODERATELY THICK CLAY FILMS ON FACES OF PEDS; ORGANIC STAINING ON FACES OF PEDS; 10 PERCENT ROCK FRAGMENTS; FEW SMALL SPOTS THAT EFFERVESCE (MAY BE LIMESTONE REMNANTS); SLIGHTLY ACID (PH 6.5); GRADUAL WAVY BOUNDARY.  (8 TO 20 INCHES THICK)BT2--18 TO 23 INCHES; RED (2.5YR 5/6) CLAY, RED (2.5YR 4/6) MOIST; STRONG MEDIUM PRISMATIC STRUCTURE THAT PARTS TO STRONG MEDIUM ANGULAR BLOCKY; VERY HARD, VERY FIRM, STICKY AND PLASTIC; FEW FINE AND COARSE ROOTS; FEW FINE INTERSTITIAL AND TUBULAR PORES; MANY MODERATELY THICK CLAY FILMS ON FACES OF PEDS; 10 PERCENT ROCK FRAGMENTS; FEW SMALL SPOTS THAT EFFERVESCE (MAY BE LIMESTONE REMNANTS); SLIGHTLY ACID (PH 6.5); GRADUAL WAVY BOUNDARY.  (4 TO 8 INCHES THICK)BT3--23 TO 36 INCHES; RED (2.5YR 5/6) SILTY CLAY, RED (2.5YR 4/6) MOIST; STRONG COARSE PRISMATIC STRUCTURE THAT PARTS TO STRONG MEDIUM ANGULAR BLOCKY; EXTREMELY HARD, EXTREMELY FIRM, STICKY AND PLASTIC; FEW THIN CLAY FILMS IN PORES; SLIGHTLY CALCAREOUS; MODERATELY ALKALINE (PH 8.0); CLEAR WAVY BOUNDARY.  (10 TO 16 INCHES THICK)BT4--36 TO 46 INCHES; PINK (5YR 7/4) SILTY CLAY LOAM, LIGHT RED (2.5YR 6/6) MOIST; MODERATE FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY HARD, FIRM, STICKY AND PLASTIC; FEW FINE ROOTS; COMMON MODERATELY THICK CLAY FILMS ON FACES OF PEDS; SLIGHTLY CALCAREOUS; MODERATELY ALKALINE (PH 8.0); GRADUAL IRREGULAR BOUNDARY.  (8 TO 24 INCHES THICK)BC--46 TO 60 INCHES; LIGHT RED (2.5YR 6/6) SILTY CLAY, DARK RED (10YR 3/8) MOIST; MODERATE MEDIUM SUBANGULAR BLOCKY STRUCTURE; VERY HARD, VERY FIRM, STICKY AND PLASTIC; FEW FINE ROOTS; FEW THIN CLAY FILMS ON PORES; SLIGHTLY CALCAREOUS; MODERATELY ALKALINE (PH 8.0).",TRUE
"SIFTON","established","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED, MESIC TYPIC MELANOXERANDS","MEDIAL OVER SANDY OR SANDY-SKELETAL, MIXED,MESIC TYPIC MELANOXERANDS",TRUE
"SOBOBA","established","SANDY-SKELETAL, MIXED, THERMIC TYPIC XEROFLUVENTS","SANDY-SKELETAL, MIXED, THERMIC TYPICXEROFLUVENTS",TRUE
"TABECHEDING","established","VERY-FINE, HALLOYSITIC, ISOHYPERTHERMIC AQUIC KANDIPEROX","FINE, HALLOYSITIC, ISOHYPERTHERMIC AQUIC TROPUDULTS",TRUE
"TENMILE","established","CLAYEY-SKELETAL, SMECTITIC, MESIC XERIC HAPLARGIDS","CLAYEY-SKELETAL, SMECTITIC, MESIC XERIC HAPLARGIDSHAPLARGIDS.",TRUE
"TENT","tentative","FINE-SILTY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTS","FINE-SILTY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTSDEPTH CLASS: VERY DEEPAGRICULTURAL DRAINAGE CLASS: POORLY DRAINEDINTERNAL FREE WATER OCCURRENCE CLASS: VERY SHALLOW (LESS THAN 10 INCHES) AND COMMON (PRESENT 3 TO 6 MONTHS PER YEAR)PERMEABILITY: SLOW TO MODERATELY SLOWINDEX SURFACE RUNOFF: LOWPARENT MATERIAL: SILTY DEPOSITS OVERLYING LOAMY FLUVIO-MARINE OR ESTUARINE SEDIMENTSSLOPE: 0 TO 2 PERCENTMEAN ANNUAL TEMPERATURE: 55 DEGREES FMEAN ANNUAL PRECIPITATION: 44 INCHES & TAXONOMIC CLASS: FINE-SILTY, MIXED, ACTIVE, MESIC TYPIC ENDOAQUULTS",TRUE
"TIZZARD","established","SANDY OVER LOAMY, ANISO, SILICEOUS, SUBACTIVE, NONACID, MESIC SULFIC FLUVAQUENTS","SANDY OVER LOAMY, ANISO, SILICEOUS, SUBACTIVE, NONACID, MESIC SULFIC FLUVAQUENTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS: VERY POORLY DRAINED (PERMANENTLY SUBMERSED)PERMEABILITY: MODERATE TO VERY RAPIDINDEX SURFACE RUNOFF: NEGLIGIBLEPARENT MATERIAL: BARRIER ISLAND WASHOVER SEDIMENTS OVERLYING LOAMY PALEO-TERRESTRIAL TIDAL MARSH DEPOSITSSLOPE: 0 TO 1 PERCENTMEAN ANNUAL AIR TEMPERATURE: 56 DEGREES F.MEAN ANNUAL WATER TEMPERATURE: 57 DEGREES F.TAXONOMIC CLASS: SANDY OVER LOAMY, ANISO, SILICEOUS, SUBACTIVE, NONACID, MESIC SULFIC FLUVAQUENTS",TRUE
